Feature (use this in benchling),SO Term
-10_signal,SO:0000175
-35_signal,SO:0000176
3'clip,SO:0000557
3'UTR,SO:0000205
5'clip,SO:0000555
5'UTR,SO:0000204
allele,SO:0001023
attenuator,SO:0000140
C_region,SO:0001834
CAAT_signal,SO:0000172
CDS,SO:0000316
centromere,SO:0000577
D_segment,SO:0000458
D-loop,SO:0000297
enhancer,SO:0000165
exon,SO:0000147
gap,SO:0000730
assembly_gap,SO:0000730
GC_signal,SO:0000173
gene,SO:0000704
iDNA,SO:0000723
intron,SO:0000188
Insulator,SO:0000627
J_segment,SO:0000470
J_gene_segment,SO:0000470
J_region,SO:0000470
LTR,SO:0000286
mat_peptide,SO:0000419
misc_binding,SO:0000409
misc_difference,SO:0000413
misc_feature,SO:0000001
misc_marker,SO:0001645
misc_recomb,SO:0000298
misc_RNA,SO:0000233
misc_signal,SO:0001411
misc_structure,SO:0000002
mobile_genetic_element,SO:0001037
mobile_element,SO:0001037
modified_base,SO:0000305
mRNA,SO:0000234
N_region,SO:0001835
ncRNA,SO:0000655
operon,SO:0000178
oriT,SO:0000724
polyA_signal,SO:0000551
polyA_site,SO:0000553
precursor_RNA,SO:0000185
prim_transcript,SO:0000185
primer,SO:0000112
primer_bind,SO:0005850
promoter,SO:0000167
propeptide,SO:0001062
protein_bind,SO:0000410
RBS,SO:0000139
regulatory,SO:0005836
rep_origin,SO:0000296
repeat_region,SO:0000657
repeat_unit,SO:0000726
rRNA,SO:0000252
S_region,SO:0001836
satellite,SO:0000005
scRNA,SO:0000013
sig_peptide,SO:0000418
snoRNA,SO:0000275
snRNA,SO:0000274
source,SO:0000149
stem_loop,SO:0000313
STS,SO:0000331
TATA_signal,SO:0000174
telomere,SO:0000624
terminator,SO:0000141
tmRNA,SO:0000584
transit_peptide,SO:0000725
transposon,SO:0001054
tRNA,SO:0000253
V_region,SO:0001833
V_segment,SO:0000466
variation,SO:0001060
start_codon,SO:0000318
stop_codon,SO:0000319
ribozyme,SO:0002181
BioBrick,SO:0000001
mutation,SO:0000109
Shine_Dalgarno_sequence,SO:0000552
restriction_enzyme_cut_site,SO:0000168
